X,Y
8,0
9,1
10,2
11,3
10,4
11,5
12,6
13,7
14,8
15,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
16,17
17,17
18,16
17,16
18,15
17,15
18,14
19,15
20,16
21,17
22,18
21,19
22,20
21,21
22,22
21,23
20,24
19,25
18,26
17,27
16,28
16,29
