X,Y
24,0
23,1
22,2
21,3
21,4
21,5
21,6
21,7
21,8
21,9
21,10
22,10
23,10
24,11
23,12
22,13
21,14
21,15
21,16
21,17
22,18
23,19
22,20
21,21
21,22
21,23
21,24
21,25
21,26
21,27
21,28
21,29
