X,Y
13,0
14,1
15,2
14,3
13,4
14,5
13,6
14,7
15,8
16,9
17,10
18,11
19,12
20,13
21,14
22,15
23,16
24,17
25,18
25,19
25,20
25,21
25,22
25,23
26,24
27,25
26,26
25,27
25,28
25,29
