X,Y
10,0
11,1
12,2
13,3
14,4
15,5
16,6
17,7
18,8
19,9
20,10
21,11
22,12
21,13
20,14
21,15
22,16
23,17
22,18
23,19
22,20
23,21
24,22
25,23
25,24
25,25
25,26
25,27
25,28
25,29
