X,Y
25,0
24,1
23,2
22,3
21,4
20,5
19,6
18,7
17,8
16,9
15,10
14,11
15,12
16,13
15,14
16,15
15,16
14,16
15,17
16,18
15,19
14,20
13,21
12,22
11,23
10,24
9,25
8,26
8,27
8,28
8,29
